,Text,label
53,"Lavrov:

How is it that Iraq threatened the security of the United States at a distance of thousands of kilometers, while when we said that Ukraine is on our borders, they said, it does not threaten your security.

He be spilling some sense, honestly. https://t.co/DU0TN010PS",1
54,"War in #Ukraine: a good opportunity for #Israel to boost the colonization of #Palestine.
Mondoweiss https://t.co/LjVYVHhvfF",1
55,"We see what's wrong and don't give up.
We see how cities burn around.
We pray to stop this fucking shit.
Don't be afraid, he will be killed. 
🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦
#StandWithUkraine #WorldForUkraine #PutinHuilo #UA #Europe #EU #USA #Ukraine #GB #UK #StopPutin",-1
56,"You know I'm trash, so here you go...... #russia #ukraine #austin #usa @ Kyiv, Ukraine https://t.co/5Bb3zC9iG7",0
57,"White people in the Ukraine have access to mRNA vaccines, that they have not funded, but still refuse to get vaccinated because it’s a very far right anti-vaxx racist society.",-1
58,"#Shared peace &amp; prosperity in the World come 2030, says, the UN. Use of force can only disrupt the realization of this golp#Stopb Russia
#Defend the rule of law

#Sovereignty",1
59,"The T-72B3 was blown up while driving over a bridge in the Nikolayev region.

#UkraineRussiaWar #Ukraine https://t.co/gMhHJvMUJu",0
60,@PolishEmbassyUK 🇵🇱 displaying the flag of Ukraine 🇺🇦 👏👏👏 https://t.co/eisfKKZkEX,0
61,"I hate retweeting Rubio, but he is correct on this one. Putin wanted a lot more than an assurance that Ukraine wouldn’t join NATO. https://t.co/jlGAvgUg1X",1
62,A drone flew all the way from either Russia or Ukraine crossing Hungary a NATO member country before crashing in Zagreb the capital city of Croatia another NATO member country and you still think that @NATO knows what they’re doing?,0
63,Moved on from which brands are still Russia phase to which brands are rewrapping in Ukrainian flag phase. https://t.co/pzVY9FszVq,0
64,"For brave #Ukraine ..  #Churchill …

“Good night, then – sleep to gather strength for the morning. For the morning will come. Brightly will it shine on the brave and true, kindly on all who suffer for the cause, glorious upon the tombs of heroes. Thus will shine the dawn.”",1
65,I think the economic sanctions towards Russia will isolate them from the world and turn them into one bigger and more dangerous North Korea.,-1
66,"@StevenShapiro8 @UAWeapons The country is littered with amo and abandoned vehicles of the Russians. What they are missing are soldiers, only Ukraine seem to have them",-1
67,"All business activity in Russia - including shipments and cafe operations - to be halted, announces @Starbucks https://t.co/i1niyxVyMC via @W7VOA",0
68,Naga Munchetty criticised over 'stupid' question to Ukraine soldier https://t.co/ojWxlGH8eO,-1
69,Chelsea ground flashes up “Stand With Ukraine”. Couple of fans try and get “Roman Abrahamovich” chant but Roman Empire over,0
70,@rmcdonald00 So Putin stooges are broadcasting from Ukraine? Got it.,0
71,"OAPs and children, pathetic #Russia https://t.co/J09V4btRQy",-1
72,"#Visa and #Mastercard are suspending their operations in #Russia 

 https://t.co/Iv0qg2PxL2 via @business",0
73,@syrpis No peace treaty and no coup against Putin. Putin remains in charge of an enfeebled Russia like Assad in Syria. The worst possible outcome for the Ukrainian &amp; Russian people. I hope I'm wrong. 2/2,-1
74,"An honour to be received by President @KlausIohannis whom I thanked for Romania’s generous and well managed welcome of refugees from Ukraine.

UNHCR is scaling up its presence and I assured the President and government of our strong support, together with our UN and NGO partners. https://t.co/cQnqAM46Le",1
75,"@ClewlowAJ Technically speaking the Art.2 UN violation by Russia's war of aggression against another member state is the more severe breach of intl law, which creates a robust enough mandate - the R2P is more about violence used domestically by a sovereign state ahimsa its own people",-1
76,Ballet stars to raise humanitarian funds for Ukraine with London gala https://t.co/JBciYQrrdC,0
77,Fuck Putin. He sure got money though. So tough for Ukraine people who have to defend their homeland which did not even act any violence in Russia. https://t.co/qO3Ptnvsu0,-1
78,@AlbertAfolabi43 Hatred? Innocent people are dying in Ukraine and you are talking to me about hatred? Fuck are you talking about?,-1
79,@McDonalds get out of Russia you slimy bellends,0
80,@tiannathewriter It's like Russia is bad but the UK is just as equally terrible it's just less visible,-1
81,@Angelsfeartogo Yes NATO is defending us. The EU is a trading block.,0
82,African refugees fleeing Ukraine facing ‘bloodshot racism’ treatment https://t.co/AZfsw9mmvC I can imagine,0
83,@dontbrexitfixit He always had a border with NATO in Norway and now Latvia &amp; Estonia &amp; Poland &amp; Lithuania via Kaliningrad. It's all a pretext for Putin to reconstitute the Ruski Mir Czarist empire by brutal force. He's a dangerously unhinged megalomanic,-1
84,#Ukraine22 they’re looking for the nazzi alumina in Ukraine,0
85,@FPlaveti @EmmanuelMacron Ukraine is a sovereing country. It's not up to us to decide. And looking at what is happening we can all understand why they wanted protection from Putin...,0
86,"It is the Russian populace that have it in their power to depose of their dictator. They have nothing to lose and everything to gain. The war will be over, sanctions will be removed, the currency will rebound, international trade will commence. Ukraine is of no value to Russia.",0
87,"@RussianEmbassy @mfa_russia @RussiaUN @mission_russian @RusembUkraine @BBCWorld @SkyNews @ftworldnews @guardianworld @spectator @NewStatesman You started this war.
You kill indiscriminately.
You are not ""liberating"" or ""de-Nazifying"" a sovereign nation that elected a Jew as it's President.
You are losing the hearts &amp; minds of your own soldiers.
And as such
You will lose this war.
#StandWithUkraine 
#Putin 
#StopRussia",-1
88,"Another ""liberated"" ukrainian!
😡😡😡😡😡😡😡😡😡
SLAVA UKRAINI🇺🇦❤🇩🇪
#Ukrainian #RussianWarCrimes #Russia #Russian #StandWithUkraine️ #StopPutin https://t.co/XKwkGr4en5",0
89,"Macron, Scholz urge Putin to end siege of Mariupol: French presidency https://t.co/FZxpHcGYb4 via @AFP #Ukraine",0
90,@RussianEmbassy @mfa_russia @RusMission_EU @EUdelegationUK @BBCWorld @ftworldnews @guardianworld @TelegraphWorld @TheEconomist @spectator @NewStatesman With what...?! https://t.co/5jlXA4f5n5,0
91,"@DominiqueTaegon If Russia was setting up army bases in Mexico and Canada. 
USA would have a problem with that. 

Just like they had an issue with Russia and Cuba’s relationship decades ago.",0
92,Civilians are being armed for the war in Ukraine. This is going crazy. War and violence doesn't solve anything man. 😭 #StopRussianAggression #StopWar #HelpUkraine,-1
93,"BREAKING: Ukraine is being hit by “a second wave of missile strikes”, according to one of the Ukrainian President’s advisers.",0
94,"@marywareham @UN @DeptofDefense @noclusterbombs United States giving the world a lesson in morality. Putin is wrong and committed crimes in Ukraine soil, but nothing differs from what they did to the Iraq people. It is always good to see the both sides",1
95,"It’s not only them not having any personal social and tech skills (with anyone average suddenly given God-like status), but even collectively the only thing white people from the Ukraine have is being the unfortunate victims of Putin’s violence, that’s it, their entire identity.",-1
96,"sending love to my neighbour country Ukraine ❤️🙏🏻 I admire u guys so much, brave and decent people, breaks my heart to see what u are going thru 🥺",1
97,@CarlosTF50 It is beyond depressing and I find it even surprising. Putin obviously has built up a police state in the past 20 years to keep his own population down and seemingly planning to extend this horrible scenario to Ukraine.,-1
98,@ClockEndJackk This guy is a brilliant youtuber love his videos but not heard from him for 2 days now when he left Ukraine on a train,1
99,Russia will probably be saved only by the fact that there are a lot of people there who are important for international business and tourism.,1
100,"This is a good piece on Putin's gradual build up of Russian power as well as his own power within Russia. Interesting on consequences of the Obama administration's miscalculated tacit acceptance of Russia's engagement in the Syrian conflict. @MacaesBruno

https://t.co/zsXDs8zZ69",1
101,"Horrific.

Russians are not you enemy, the criminal state running Russia is.

Very concerned about mounting Russophobia across Europe at the moment. 

Don’t let hatred take over our societies, it’s how Putin wins. https://t.co/HzZi0Ffc9W",-1
102,@INArteCarloDoss @drsparwaga Cities are the worst theaters for invaders. If Ukraine can hold fot the 1st week I believe they can pull one of off Finland's book.,-1
103,"Russian airline S7 has announced the suspension of ALL international flights after one of its planes was seized by the leasing company that owns it while in Yerevan, Armenia. Getting harder by the minute to get out of Russia. https://t.co/Datvy6d8ZT",0
104,"Today would be a good day for Merkel and Steinmeier to apologize for the disastrous failure of their Russia policy.
#Ukraine #Putin #Ostpolitik",-1
105,The Majority of Israeli citizens hail from the Ukraine. https://t.co/db6o95fM8f,0
106,"Some of u may want to hear this Malaysian Chinese youtuber who talks about politics.

He is commenting on Ukraine.

https://t.co/MEkbVJDzxt",0
107,@_JeanLeon @Matty27267256 @hsu_steve Putin has pushed them towards it. They already collaborate with NATO.,0
108,"@asnajdar Ukraine is 40 million people. If it joined right now it would be the 4th largest member state. The EU's centre of gravity would be shifted East. Huge ramifications for the EU.

This would change what the EU is. And for many, just like with 🇹🇷, 🇺🇦 is too big and too far away.",1
109,@peace2strength @YourAnonNews nato can’t do anything. neither countries are nato countries.,0
110,Today is a good day to not look at pictures coming from Ukraine 💔,1
111,"Poland was super savvy with this MiG move… “gifting” their existing planes to the US (for the US to deliver to the Ukrainians), and being “gifted” new American fighters in return. Brilliant 

…if others in Europe follow suit, Ukraine is about to have a whole new air force",1
112,@shaunjlawson I think your an  analysis has a good chance.  I know Ukraine a little and they are a proud and patriotic country.  I am less confident about China.  But we can hope.,1
113,"We can continue to arm the Ukrainians, sanction Russia, and try to get China to use their leverage with Russia to end this.",0
114,Russia has bombed a Holocaust memorial. https://t.co/XfQURFtBZH,0
115,"@NatashaBertrand NATO are also asking the question...

What will the cost be?",0
116,"@paulmasonnews @MrBenSellers @joecguinan @Keir_Starmer Go and tell that to Starmer, who is using, in his immense dishonesty, any criticism of NATO to expel or punish those who do not endorse his right wing philosophy.",-1
117,"Have also heard from a friend he is out at lunch for a meal with his family. Three times his card had been declined. 

Given the scale of death and destruction across the border, impossible to see this a genuine problem, but shows Russia being cut off/cutting itself off fast",-1
118,"Brilliant work @vicar_stsp and everyone at St Saviours in Pimlico for organising donations for those fleeing Putin’s tyranny
#SlavaUkraini #Ukraine #love #LightTheDarkness 🇺🇦 https://t.co/TAl3rMe8fu",1
119,"@JaneFae @akisluk98 @ced003 @srodan @ZelenskyyUa I misread, my bad! Thank you. I read he meant Germany liberated by Russia. Stupid me.",-1
120,And vice versa in Russia? https://t.co/Mz7dVQ79w6,0
121,"Countries that never took side  including our own 🇺🇬🇺🇬🇺🇬 in condemnation of Russia against Ukraine,
Each of these countries has its own reasons that us the nationals don't know to y they did so https://t.co/dupRp8mAKG",-1
122,"@zhang_heqing The existence  of  such labs in Ukraine is fact confirmed by WHO and US!
Any denial is futile!",-1
123,"Damn irritating.
Hope he end his existence soon.
He has personally believed that Ukraine is Russia 
Then he should pay the price when he realized Ukrainian actually did not believe this
The more he do, the deeper he dug his own grave
It's unfortunate but looks like he's dead end https://t.co/0IvTvoyvzY",-1
124,If anyone can source some #tourniquets in next 24h we have transport👉#ukraine DM me @TheDA_UK https://t.co/LqDZ3UxIsh,0
125,"Olga, an anti-war activist in Russia has been arrested dozens of times. “I will never leave my country. I am responsible for it,” she told us while laying flowers for murdered Putin critic Boris Nemtsov. Now her activism has become riskier than ever. https://t.co/vsfVgiLYHn https://t.co/lUMslcbUfT",-1
126,"I’ve not exactly been casting around for things to read/hear on the Russia/Ukraine situation but, nevertheless, this is by far the best and most informative thing I’ve encountered. https://t.co/2PEv6satIm",1
127,"@RashidNix I relied on what I saw with own ears watching Putin himself. 
He is out of control dictator bent on empire.
To oppose any neighbouring democracy right to seek shelter collectively from NATO, is profoundly cruel.
Plenty maltreatment PoC in UK.
Doesnt mean we invite Putin 2 run us!",-1
128,Strong statement of unity. Thank you @eduardheger for joining us in London. #Ukraine front and centre of the agenda. https://t.co/9hBUvIyvDA,1
129,"On the potential supply chain impacts of the war on Ukraine, from wheat and gas to semiconductors. https://t.co/SB8dJG2aTx",-1
130,"@RickNetshiozwi @RCMGooner @joncoopertweets that's just stupid. NATO should formally abandon any expansion plan and let Ukraine be a buffer state as it should, then the war will end",-1
131,"Singapore details financial sanctions, export controls on Russia after Ukraine invasion 

 https://t.co/1oCOA6TPpg",0
132,"@JamesVioleen @NATO Nato is afraid, Russian is one of craziness government ever, im romanian, were not sure for us too, probably no one helps the Ukraine government, j some foods or weapons, usa, European countries are afraid, of Russia, that's i deduct myself from all this war, Romania is in danger",-1
133,@RegistryReport I have worse shit growing in my bathroom than the US does in Ukraine,-1
134,"My heart breaks for the people of #Ukraine 😢💔 elderly men staying to fight, young girls standing on the front line - if that’s not bravery I don’t know what is ❤️ I hope they survive, this is horrific. #UkraineRussiaWar",-1
135,@rglynfreeman @piersmorgan Does any of that make the situation in Ukraine less than it is?,0
136,@KremlinRussia_E Vladimir Putin and President of France Emmanuel Macron discussed the situation in Ukraine. #RussiaUkraine,0
137,"@Matt_W1985 @HMarnoch @susan04071 @afneil It's true that we (the West) might have unintentionally precipitated this. Austria &amp; Finland had successfully remained neutral &amp; played a clever role. It's pretty obvious that if Ukraine joins NATO, article 5 and a world war will follow.",1
138,@Osinttechnical Holy fuck! Pure evil to target civilians like this. #StopPutin #Ukraine,-1
139,"#Cyprus will support cutting #Russia from #SWIFT 
#StandWithUkriane https://t.co/Skm87HxzlE",1
140,"Happy #InternationalWomensDay2022 to the women of #Ukraine - those who have had to flee, those who have gone to the front or stay to fight, those who have had to make unthinkable decisions, or who are caught up &amp; doing their best. We see you, we are with you ✊🏼 #iwd #IWD2022 🇺🇦",1
141,"Call their mother to pick them back to Russia...🥴

https://t.co/aJTwLxaSEG",0
142,@LouiseMensch @mod_russia This is where Putin and Trump should spend their remaining days. 👇 https://t.co/sDZ2Vi0fUi,0
143,@MarkHertling Erase the fake map posted from Russia. In 1949-1991 it was no Russia. It was USSR,-1
144,Unbelievably distressing news bulletin from Ukraine tonight on @BBCNews at 10. How any human can do what was on film to another human is beyond me. Solidarity to all those who are fleeing atrocious wars across the world 😔,-1
145,"“Kept all bottles of wine from mass, we’re preparing Molotov cocktails here”.

https://t.co/tsRWdvVC1z

#Ucrânia #Ukraine🇺🇦 #russianinvasion #StandWithUkraine️ #molotovcocktail #padre #priest #resistência #resistance",0
146,@gonglei89 Then Biden gives Putin a huge win to reward his threat. Biden pushing for Ukraine elsewhere would lead to the same outcome. Putin was not going to be satisfied unless Ukraine was under its power. What is Putin realistically going to give up in exchange that we could trust?,1
147,"We still sending humanitarian supplies to #Ukraine 

#UkraineWar #VolodymyrZelensky #NATO #HelpUkraine https://t.co/K8xT6ZIALu",0
148,@mashagessen Hi Masha. I just listened to your fantastic interview with Ezra Klein. Always find your insights very interesting. What was the name of the book you talked about by the guy who was a little boy in Ukraine during WWII? Very keen to read it.,1
149,@YEASTY_COMMIE @MniAlu 14k is the total number of fatalities you dumb motherfucker and Russia literally started the war in Donbass https://t.co/M1RAzFHNOw,-1
150,Russia. Provided that voters will not politicise the issue.,0
151,"@Phil_Beavan @Telegraph ""Sanctions are most effective when they hurt both sides. The United front against Russia's war allows countries to 'spread the pain' across multiple economies... that's the key.""

Not very bright.",-1
152,Ukraine's Andriy Yarmolenko comes on as substitute for West Ham &amp; gets a standing ovation from the London Stadium 🇺🇦🇺🇦 #Ukraine,0
153,"@RussianEmbassy @mfa_russia @UN @RusEmbUSA @RussiaUN @FCDOGovUK @DefenceHQ @trussliz @BBCNews @SkyNews @Telegraph @TimesRadio Deceitful morons, 4,000 Russian soldiers have already died in Ukraine. The Russians kill innocent civilians and children. Russians wake up !!!!",-1
154,"Biden said in 1997 that the only thing that could provoke a ""strong and hostile"" Russian response would be the expansion of NATO to other countries. 

Ow mf knows?! China believes it’s the west’s fault, and now I’m beginning to see reason in it. https://t.co/6B4M1VXxQP",-1
155,@FraserNelson So even Ukrainians who were not living in Ukraine can come into UK?,0
156,"What I really don't get is people trying to excuse what's going on in Ukraine talking about the shit USA has done. Yeah, those are horrible actions and should be condemned. Ukraine invasion is horrible and should be condemned too.",-1
157,@TheRickWilson Russia needs China to give it food? Dude wtf,-1
158,"Putin will damage his own country as well as Ukraine , Russians and Ukrainians should stand together against Putin , he is the problem not the people #UkraineRussiaConflict #Russia",-1
159,@Muss02203934 @Nath_Yamb @EmmanuelMacron @RT_com @SputnikInt @Sebastien_Nadot @NATO @matteosalvinimi Oh mon dieu,0
160,@ZelenskyyUa @POTUS @POTUS everyone between Ukraine &amp; USA believe in you .. Do something🙏💪,0
161,"@stephennewton @ElBo15270002 @dildorunnl @tribunemagazine @redfishstream So you are genuinely saying that it is not possible or legitimate to care about 2 countries at the same time? I vehemently oppose the invasion of Ukraine, and also wish the west would speak out about Yemen. I will leave it there.",1
162,"🇩🇰very concerned about potential nuclear consequences of #Russia aggression to #Ukraine which we strongly condemn. Support all #IAEA efforts for nuclear safety, security and safeguards in 🇺🇦 Our statement at the Board today:
https://t.co/EVHOD2BeU5  Thx to 🇨🇦🇵🇱 for initiative! https://t.co/rU2IBdwzWZ",1
163,@groovecassius @BayernPille @Ukraine Are You dumb or stupid?,-1
164,@DavideDenti @spectatorindex @S_Zoppellaro Borrell's explained today on the assistance package to Ukraine,0
165,"Our thoughts and prayers are with you, Ukraine 🇺🇦 #prayforukraine #ukraine #ukrainetoday #peacenotwar #violenceisnottheanswer #protectyourlovedones #antiwar @ Kyiv, Ukraine https://t.co/mHiaqh6ZKA",0
166,Blimey. @SkyNews tonight has me as concerned as I’ve been so far about this awful war spilling beyond #Ukraine. Putin needs to be found and taken down asap. #UkraineUnderAttaсk Thoughts with all Ukrainians 💔 🇺🇦,-1
167,@SiobhanBenita Boris called up his mate Vlad who made it go away by invading Ukraine.,0
168,"Probably captured LDNR soldiers on the video, not Russian soldiers, as Ukrainian sources claim.

#Russia #UkraineRussiaWar https://t.co/f3KYfh9ihE",0
169,Slava Ukraini to all the Wonderful Ukrainians all over the World. I admire your tenacity and adorable Patriotism. Slava Ukraini and Long Live Ukraine!!!!,1
170,And we want them 🇺🇦 tomorrow in @NATO @vonderleyen @jensstoltenberg https://t.co/XUtLut3X0D,0
171,@MPrepuce @CocaCola @pepsi Pepsi is still operating in Russia,0
172,"Powerful and emotional address from the President of Ukraine…’We will defend ourselves' from Russia, says Ukraine president Volodymyr... https://t.co/bJGVb4c3Qf via @YouTube https://t.co/8xr90q3pMT",1
173,"@BettyCa46184897 @KyivIndependent How do you that Ukraine has managed to achieve this?👇
https://t.co/H9DZxu3DQ0",0
174,"#StandWithUkraine and #StopTheWar

#StopptDenKrieg #Ukraine #Berlin @ Berlin, Germany https://t.co/Xe9TjQJRy3",0
175,"@Ktutiso @nexta_tv Basically what she says is that because Ukraine was once part of Soviet union, Russia now has the right to kill, rape and pillage Ukraine and it's people and the world should just sit by and let Russia get away with it.",-1
176,"@MFA_Ukraine @hrw Reported by @mattfrei @itn @theJeremyVine @Channel4News @mfa_russia not you, yet students trying to get into Hungary @IndiaInHungary @abouthungary",0
177,"@SkyNews ..he's threaders. He's on the verge of insulting NATO now. Here's a man who's been walked-off to peril. They're called 'Patsies' @ZelenskyyUa, and they get used-up. Pawn. All they did was make promises they were never going to deliver and stroke your ego. They delivered guns.",-1
178,"“People of #Russia don’t what this war”

#StandWithUkraine #SlavaUkraini https://t.co/h7hi8as0FF",0
179,"I grew up in the 80s, The Falklands, Threads, Miners Strike, Thatcher, the threat of Nuclear War.
Now is immeasurably worse, the worst, most corrupt Government in History, Brexit, Pandemic, Now Ukraine &amp; Putin. How long do we let Johnson get away with this?? #JohnsonOut45",-1
180,"Everyone should be free to choose where he/she wants to live. In North Korea/ Russia/China/Venezuela/Qatar/Saudi Arabia/Israel/Kenia/Argelia/Portugal/Spain/France/Germany... Choose. For a free choice and let us live in Peace. You prefer comunisn, capitalism, whatever!Peace",1
181,@longest_cat @CathyHeyworth @POTUS Who did the Ukrainian mafia support in the presidential run in Ukraine how does the comedian end up with a $34 million house in Florida pretty good for a fucking comedian,1
182,"Today was the Dismounted Soldier Situational Awareness Focus Day for #futuresoldiertech 2022! 

Over the next two days, the agenda will cover updates from national future soldier programmes across Europe &amp; the wider NATO aligned international community.

https://t.co/tYiEWYZEv8 https://t.co/9X6RKMhxaF",0
183,"PM Imran Khan will discuss the issue of Ukraine with President Putin in his meeting, says Pakistani Information Minister @fawadchaudhry just ahead of the Premier's meeting. #PMIKInRussia",0
184,"Spoke to @StephenNolan again overnight on BBC 5 Live about how ordinary Russians are reacting to Putin’s bloody war in Ukraine, and the life-shattering sanctions many will face as a result. https://t.co/L3cGVAOewo",-1
